    magnitudes :   21290.0625 ,   25235.6875 ,   28392.3750 ,   28392.3750 ,   28392.3750 ,   28392.3750 ,   30946.0000 ,   22048.5625 ,   25235.6875 ,   27291.8125 ,   27291.8125 ,   28392.3750 ,   30946.0000 ,   22616.7500 ,   25235.6875 ,   27133.6250 ,   28392.3750 ,   30946.0000 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   30946.0000 ,   24283.0625 ,   27133.6250 ,   30946.0000 ,   21923.3750 ,   27291.8125 ,   23481.4375 , 
    magnitudes :   22754.2500 ,   27291.8125 ,   29536.1875 ,   29637.8750 ,   29536.1875 ,   29637.8750 ,   29536.1875 ,   22048.5625 ,   26168.1875 ,   26310.0625 ,   27291.8125 ,   28392.3750 ,   29637.8750 ,   22616.7500 ,   25235.6875 ,   26310.0625 ,   28392.3750 ,   29536.1875 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   29536.1875 ,   24283.0625 ,   27291.8125 ,   29536.1875 ,   22754.2500 ,   26168.1875 ,   23481.4375 , 
    magnitudes :   26192.8750 ,   32341.4375 ,   33906.1250 ,   35545.0000 ,   35545.0000 ,   35722.2500 ,   33906.1250 ,   22069.3125 ,   26192.8750 ,   27317.5000 ,   27317.5000 ,   28419.1250 ,   28419.1250 ,   22638.0625 ,   25259.4375 ,   27317.5000 ,   28419.1250 ,   28419.1250 ,   21944.0000 ,   26192.8750 ,   28419.1250 ,   28419.1250 ,   23503.5625 ,   27159.1250 ,   28419.1250 ,   21944.0000 ,   25259.4375 ,   22775.6875 , 
    magnitudes :   33722.6250 ,   37411.9375 ,   39654.0625 ,   42059.5000 ,   39654.0625 ,   39654.0625 ,   37411.9375 ,   21290.0625 ,   26168.1875 ,   27291.8125 ,   27291.8125 ,   28392.3750 ,   27291.8125 ,   22616.7500 ,   25235.6875 ,   27291.8125 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   23481.4375 ,   27133.6250 ,   28392.3750 ,   21923.3750 ,   25235.6875 ,   22754.2500 , 
    magnitudes :   32166.5000 ,   35497.3750 ,   37604.0625 ,   37604.0625 ,   35497.3750 ,   35497.3750 ,   32298.0625 ,   22039.6875 ,   26157.7500 ,   27280.8750 ,   27280.8750 ,   28381.0000 ,   28381.0000 ,   22607.7500 ,   25225.5625 ,   27122.7500 ,   28381.0000 ,   28381.0000 ,   21914.6250 ,   26157.7500 ,   28381.0000 ,   28381.0000 ,   23472.0000 ,   27122.7500 ,   28381.0000 ,   21914.6250 ,   25225.5625 ,   22745.1875 , 
    magnitudes :   30859.3125 ,   35545.0000 ,   37654.5625 ,   37654.5625 ,   35545.0000 ,   35545.0000 ,   32209.6875 ,   22069.3125 ,   26192.8750 ,   27317.5000 ,   28419.1250 ,   28419.1250 ,   28419.1250 ,   22638.0625 ,   25259.4375 ,   27159.1250 ,   28419.1250 ,   28419.1250 ,   21944.0000 ,   26192.8750 ,   28419.1250 ,   28419.1250 ,   23352.3750 ,   27159.1250 ,   28419.1250 ,   21944.0000 ,   25259.4375 ,   21944.0000 , 
    magnitudes :   30817.9375 ,   33860.6250 ,   35497.3750 ,   37604.0625 ,   35497.3750 ,   35497.3750 ,   32166.5000 ,   21914.6250 ,   26157.7500 ,   27122.7500 ,   27280.8750 ,   29524.3125 ,   28381.0000 ,   21914.6250 ,   25100.4375 ,   27122.7500 ,   28381.0000 ,   28381.0000 ,   21914.6250 ,   26157.7500 ,   28381.0000 ,   28381.0000 ,   23321.0625 ,   27122.7500 ,   28381.0000 ,   21914.6250 ,   25225.5625 ,   21914.6250 , 
    magnitudes :   29536.1875 ,   33874.1875 ,   35511.5625 ,   37411.9375 ,   35511.5625 ,   35511.5625 ,   32179.3750 ,   21923.3750 ,   26168.1875 ,   27291.8125 ,   27291.8125 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   25235.6875 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   26168.1875 ,   28214.3750 ,   28392.3750 ,   23330.3750 ,   27133.6250 ,   28392.3750 ,   21923.3750 ,   25235.6875 ,   22754.2500 , 
    magnitudes :   30859.3125 ,   33906.1250 ,   35545.0000 ,   37447.1250 ,   35545.0000 ,   35545.0000 ,   32209.6875 ,   21944.0000 ,   26192.8750 ,   27159.1250 ,   27317.5000 ,   28419.1250 ,   28419.1250 ,   22638.0625 ,   25259.4375 ,   27159.1250 ,   28419.1250 ,   28419.1250 ,   21944.0000 ,   26192.8750 ,   28419.1250 ,   28419.1250 ,   23352.3750 ,   27159.1250 ,   28419.1250 ,   21944.0000 ,   25259.4375 ,   22638.0625 , 
    magnitudes :   30871.6875 ,   33919.6250 ,   35559.1875 ,   37462.1250 ,   35559.1875 ,   35559.1875 ,   32222.5625 ,   21952.8125 ,   26203.3125 ,   27170.0000 ,   27328.4375 ,   28430.5000 ,   28430.5000 ,   21829.5625 ,   25269.5625 ,   26203.3125 ,   28430.5000 ,   28430.5000 ,   21952.8125 ,   26203.3125 ,   28430.5000 ,   28430.5000 ,   23361.6875 ,   27170.0000 ,   28430.5000 ,   21952.8125 ,   25269.5625 ,   22647.1250 , 
    magnitudes :   30830.3125 ,   35511.5625 ,   37411.9375 ,   37619.1250 ,   35511.5625 ,   35511.5625 ,   32179.3750 ,   21923.3750 ,   26168.1875 ,   27133.6250 ,   27291.8125 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   25235.6875 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   23330.3750 ,   27133.6250 ,   28392.3750 ,   21923.3750 ,   25235.6875 ,   21923.3750 , 
